Player,Country,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
Jannik Sinner,[ITA],62,57-5,91.9%,70.6%,69.1%,512,10.4%,120,2.4%,6.3%,61.4%,78.7%,57.9%,61.8%,90.7%,6.0,1.8
Carlos Alcaraz,[ESP],79,66-13,83.5%,67.2%,67.2%,373,6.3%,184,3.1%,8.8%,64.9%,72.9%,56.4%,61.9%,85.6%,6.1,2.0
Alexander Zverev,[GER],85,64-21,75.3%,69.6%,68.2%,740,11.4%,204,3.2%,10.3%,69.5%,76.3%,54.4%,60.7%,88.2%,6.0,1.8
Taylor Fritz,[USA],69,47-22,68.1%,70.2%,67.5%,736,13.2%,132,2.4%,6.6%,64.1%,78.6%,55.2%,59.0%,89.5%,6.0,1.8
Jack Draper,[GBR],66,48-18,72.7%,67.7%,66.6%,553,11.0%,195,3.9%,10.0%,61.3%,76.9%,53.1%,59.0%,85.1%,6.1,2.0
Novak Djokovic,[SRB],48,37-11,77.1%,68.8%,67.9%,325,8.9%,106,2.9%,8.6%,66.2%,75.8%,55.2%,60.4%,87.5%,6.2,1.9
Casper Ruud,[NOR],67,44-23,65.7%,65.7%,65.2%,365,7.3%,160,3.2%,9.5%,66.3%,71.7%,53.7%,59.3%,82.6%,6.3,2.2
Lorenzo Musetti,[ITA],72,51-21,70.8%,64.5%,64.3%,260,4.3%,133,2.2%,6.5%,66.1%,70.2%,53.4%,57.1%,80.3%,6.4,2.3
Alex De Minaur,[AUS],69,48-21,69.6%,65.0%,65.6%,279,5.6%,194,3.9%,8.4%,54.2%,73.8%,54.6%,59.6%,81.5%,6.1,2.2
Holger Rune,[DEN],66,43-23,65.2%,65.6%,65.6%,347,6.9%,182,3.6%,9.1%,60.5%,72.7%,54.7%,60.3%,83.7%,6.3,2.2
Daniil Medvedev,[RUS],62,40-22,64.5%,64.4%,64.8%,435,9.1%,267,5.6%,14.5%,61.4%,73.8%,49.5%,57.8%,80.2%,6.3,2.3
Tommy Paul,[USA],66,47-19,71.2%,65.3%,64.2%,386,7.2%,121,2.3%,5.9%,61.7%,72.4%,53.9%,57.3%,82.3%,6.4,2.2
Ben Shelton,[USA],66,39-27,59.1%,68.2%,67.1%,621,10.7%,210,3.6%,11.1%,67.4%,74.9%,54.2%,61.0%,87.6%,6.4,2.0
Arthur Fils,[FRA],69,44-25,63.8%,65.8%,65.6%,420,7.8%,203,3.8%,9.8%,61.8%,74.8%,51.2%,56.8%,83.0%,6.3,2.2
Frances Tiafoe,[USA],60,34-26,56.7%,65.7%,64.3%,507,9.4%,164,3.0%,7.3%,58.4%,74.4%,53.5%,57.7%,82.8%,6.5,2.2
Grigor Dimitrov,[BUL],55,36-19,65.5%,67.2%,67.3%,425,10.1%,213,5.1%,12.4%,59.2%,78.4%,50.9%,58.2%,83.8%,6.2,2.0
Andrey Rublev,[RUS],60,32-28,53.3%,66.4%,64.9%,493,10.4%,159,3.4%,8.7%,61.2%,75.9%,51.5%,56.4%,83.6%,6.2,2.1
Francisco Cerundolo,[ARG],76,48-28,63.2%,63.8%,64.6%,277,4.7%,223,3.8%,10.2%,62.5%,69.9%,53.7%,59.8%,80.3%,6.5,2.4
Jakub Mensik,[CZE],57,34-23,59.6%,65.3%,62.9%,707,14.5%,228,4.7%,11.7%,60.1%,77.2%,47.5%,53.9%,83.2%,6.5,2.2
Stefanos Tsitsipas,[GRE],61,38-23,62.3%,67.7%,67.6%,395,8.4%,180,3.8%,9.9%,61.6%,75.5%,55.2%,61.2%,86.6%,6.2,2.0
Tomas Machac,[CZE],61,37-24,60.7%,63.6%,63.6%,328,7.0%,188,4.0%,10.7%,62.9%,69.9%,53.0%,59.4%,79.2%,6.4,2.3
Ugo Humbert,[FRA],57,32-25,56.1%,66.7%,65.2%,436,9.5%,131,2.9%,7.4%,61.3%,74.9%,53.7%,57.9%,84.7%,6.2,2.1
Sebastian Korda,[USA],43,27-16,62.8%,66.4%,64.8%,306,9.3%,83,2.5%,6.5%,61.3%,74.0%,54.3%,58.1%,84.3%,6.2,2.1
